Day;Month;Player;Mission;TimeToFinishMission;;
14;9;3;9;2.635552;;
14;9;3;10;29.37982;;
14;9;3;11;18.67503;;
14;9;3;12;19.72478;;
14;9;5;1;32.98499;;
14;9;5;2;18.80244;;
14;9;5;3;29.43818;;
14;9;5;4;25.02218;;
14;9;5;5;17.26306;;
14;9;5;6;7.976994;;
14;9;5;7;7.473967;;
14;9;5;8;24.34767;;
14;9;5;9;6.247498;;
14;9;5;10;40.50523;;
14;9;5;11;30.24397;;
14;9;5;12;12.88908;;
16;9;3;1;14.81266;;
16;9;3;2;53.7074;;
16;9;3;3;16.54067;;
16;9;3;4;22.50636;;
16;9;3;5;4.673344;;
16;9;3;6;11.3011;;
16;9;3;7;9.001395;;
16;9;3;8;14.91008;;
16;9;3;9;52.92262;;
16;9;3;10;14.50805;;
16;9;3;11;23.16823;;
16;9;3;12;2.601242;;
16;9;2;1;46.47078;;
16;9;2;2;18.13605;;
16;9;2;3;37.91961;;
16;9;2;4;13.73126;;
16;9;2;5;1.329276;;
16;9;2;6;23.37504;;
16;9;2;7;33.802;;
16;9;2;8;24.9659;;
16;9;2;9;23.59618;;
16;9;2;10;44.7769;;
16;9;2;11;17.93243;;
16;9;2;12;31.29576;;
28;9;2;1;29.77014;;
28;9;2;2;7.869312;;
28;9;2;3;56.0975;;
28;9;2;4;9.453068;;
28;9;2;5;5.545575;;
28;9;2;7;20.58737;;
28;9;2;8;19.33518;;
28;9;2;9;4.832172;;
28;9;2;10;13.28086;;
28;9;2;11;6.126998;;
28;9;2;12;25.67289;;
28;9;4;1;15.4724;;
28;9;4;2;9.428286;;
28;9;4;3;7.35437;;
28;9;4;4;4.821209;;
28;9;4;5;8.038272;;
28;9;4;6;16.6671;;
28;9;4;7;30.38015;;
28;9;4;8;39.32824;;
28;9;4;9;2.028725;;
28;9;4;10;26.81742;;
28;9;4;12;20.59889;;
30;9;2;1;17.46816;;
30;9;2;2;17.87469;;
30;9;2;3;20.60298;;
30;9;2;4;28.42235;;
30;9;2;5;22.18525;;
30;9;2;6;6.595607;;
30;9;2;7;19.15209;;
30;9;2;8;21.58994;;
30;9;2;9;0.2492829;;
30;9;2;10;32.44677;;
30;9;2;11;13.52846;;
30;9;2;12;16.68033;;
28;9;5;1;10.08375;;
28;9;5;2;13.54643;;
28;9;5;3;20.36116;;
28;9;5;4;15.42412;;
28;9;5;5;11.18315;;
28;9;5;6;24.78763;;
28;9;5;7;12.62757;;
28;9;5;8;8.142933;;
28;9;5;9;22.71877;;
28;9;5;10;24.16127;;
28;9;5;11;12.74767;;
28;9;5;12;8.092813;;
30;9;3;1;13.31619;;
30;9;3;3;38.68319;;
30;9;3;4;21.28917;;
30;9;3;5;33.11115;;
30;9;3;6;30.80142;;
30;9;3;7;6.094434;;
30;9;3;8;15.52652;;
30;9;3;9;4.894046;;
30;9;3;10;6.599298;;
30;9;3;11;9.327876;;
30;9;3;12;17.00148;;
30;9;4;1;11.5603;;
30;9;4;2;17.28232;;
30;9;4;3;28.17421;;
30;9;4;4;23.54538;;
30;9;4;5;10.15284;;
30;9;4;6;17.33397;;
30;9;4;7;36.84862;;
30;9;4;8;42.07647;;
30;9;4;9;23.09449;;
30;9;4;10;25.42029;;
30;9;4;11;14.50454;;
30;9;4;12;28.68856;;
5;10;5;1;1.266957;;
5;10;5;2;33.85864;;
5;10;5;3;20.58986;;
5;10;5;4;18.58543;;
5;10;5;5;5.875176;;
5;10;5;6;3.790391;;
5;10;5;7;7.932401;;
5;10;5;8;11.38074;;
5;10;5;9;21.4536;;
5;10;5;10;10.49683;;
5;10;5;11;40.83826;;
5;10;5;12;6.663274;;
5;10;2;1;14.17309;;
5;10;2;2;8.056502;;
5;10;2;3;5.261988;;
5;10;2;4;11.64982;;
5;10;2;5;12.33028;;
5;10;2;6;7.227507;;
5;10;2;7;47.80164;;
5;10;2;8;33.34187;;
5;10;2;9;10.45306;;
5;10;2;10;28.10499;;
5;10;2;11;46.60837;;
5;10;2;12;6.768209;;
5;10;4;1;55.94226;;
5;10;4;2;53.26247;;
5;10;4;3;13.07195;;
5;10;4;4;14.61046;;
5;10;4;5;22.69507;;
5;10;4;6;12.85073;;
5;10;4;7;8.058578;;
5;10;4;8;18.27074;;
5;10;4;9;4.750891;;
5;10;4;10;24.31161;;
5;10;4;11;17.83737;;
5;10;4;12;7.687239;;
30;9;5;1;6.6639;;
30;9;5;2;23.63039;;
30;9;5;3;3.742184;;
30;9;5;4;12.69332;;
30;9;5;5;21.88792;;
30;9;5;6;10.07747;;
30;9;5;7;11.20237;;
30;9;5;8;15.78529;;
30;9;5;9;16.59074;;
30;9;5;10;11.7654;;
30;9;5;11;12.38305;;
30;9;5;12;7.09034;;
